year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned
,Confirmed,Naji Jerf,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Naji-Jerf450.jpg,AFP,Journalist,,Murder,Killed,Staff,"Hentah, Raqqa is Being Slaughtered Silently","Editor,Producer","Human Rights,Politics",Internet,Turkey,Gaziantep,,,Gaziantep,,Foreign,Political Group,Confirmed,,,Partial Impunity,No,No,Yes,,,,,,,,,
,Confirmed,Niloy Neel,,Bangladesh,,,Male,,,Journalist,,Murder,Killed,Freelance,Freelance,Internet Reporter,"Culture,Human Rights,Politics",Internet,Bangladesh,Dhaka,,,Dhaka,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,
,Confirmed,Noureddine Hashim,,Syria,,,Male,,,Journalist,,Crossfire,Killed,Staff,Al Etihad Press,"Broadcast Reporter,Photographer,Internet Reporter",War,"Television,Internet",Syria,Damascus,,,Damascus,,Local,Military Officials,Confirmed,,,,No,No,No,,,,,,,,,
,Confirmed,Obada Ghazal,,Syria,,,Male,,,Journalist,,Crossfire,Killed,Staff,SMART News Agency,"Camera Operator,Photographer,Internet Reporter",War,Television,Syria,"Taftanaz, Idlib province",,,"Taftanaz, Idlib province","Taftanaz, Idlib province",Local,Military Officials,Confirmed,,,,,,,,,,,,,,,
,Confirmed,Philippe Honoré,,France,,,Male,,,Journalist,,Murder,Killed,Freelance,Freelance,Columnist / Commentator,"Culture,Human Rights,Politics","Print,Internet",France,Paris,,,Paris,,Local,Political Group,Confirmed,,,Partial Impunity,No,No,Yes,,,,,,,,,
,Confirmed,Randa George,,South Sudan,,,Female,,,Journalist,,Murder,Killed,Staff,Raja FM,Broadcast Reporter,"Politics,War",Radio,South Sudan,Western Bahr al Ghazal state,,Western Bahr al Ghazal state,Western Bahr al Ghazal state,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
,Confirmed,Rubén Espinosa Becerril,,Mexico,,,Male,,,Journalist,,Murder,Killed,Staff,"Proceso, AVC Noticias, Cuartoscuro",Photographer,"Culture,Human Rights,Politics",Print,Mexico,Mexico City,,,Mexico City,,Local,Unknown Fire,Confirmed,,,Complete Impunity,Yes,No,Yes,,,,,,,,,
,Confirmed,Serhiy Nikolayev,,Ukraine,,,Male,,,Journalist,,Crossfire,Killed,Staff,Segodnya,Photographer,"Human Rights,War",Print,Ukraine,Peski,,,Peski,,Local,Unknown Fire,Confirmed,,,,No,No,No,,,,,,,,,
,Confirmed,Soleil Balanga,,Democratic Republic of the Congo,,,Male,,,Journalist,,Murder,Killed,Staff,Radio Monkoto Soso Aleli,Broadcast Reporter,"Culture,Politics",Radio,Democratic Republic of the Congo,"Monkoto, Equateur Province",,,"Monkoto, Equateur Province","Monkoto, Equateur Province",Local,Local Residents,Confirmed,,,Full Justice,No,No,No,,,,,,,,,
,Confirmed,Stephane Charbonnier (Charb),,France,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/charb%252520000_Par7427869.jpg,AFP,Journalist,,Murder,Killed,Staff,Charlie Hebdo,Editor,"Culture,Human Rights,Politics","Print,Internet",France,Paris,,,Paris,,Local,Political Group,Confirmed,,,Partial Impunity,No,No,Yes,,,,,,,,,
,Confirmed,Thaer al-Ajlani,,Syria,,,Male,,,Journalist,,Crossfire,Killed,Freelance,Sham FM; al-Watan,"Broadcast Reporter,Camera Operator,Print Reporter",War,"Print,Radio,Television",Syria,Damascus,,,Damascus,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,
,Confirmed,Thaer Al-Ali,,Iraq,,,Male,,,Journalist,,Murder,Killed,Staff,Rai al-Nas,Editor,"Corruption,Crime,Culture,Human Rights,Politics,War",Print,Iraq,Mosul,,,Mosul,,Local,Political Group,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,
,Confirmed,Wasem Aledel,,Syria,,,Male,,,Journalist,,Crossfire,Killed,Staff,Maarat Media Center,"Camera Operator,Photographer,Internet Reporter","Human Rights,Politics,War","Television,Internet",Syria,"Binin, Idlib province ",,,"Binin, Idlib province ","Binin, Idlib province ",Local,Military Officials,Confirmed,,,,No,No,No,,,,,,,,,
,Confirmed,Washiqur Rahman Babu,,Bangladesh,,,Male,,,Journalist,,Murder,Killed,Freelance,Freelance,Internet Reporter,"Culture,Human Rights,Politics",Internet,Bangladesh,Dhaka,,,Dhaka,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,
,Confirmed,Yahya Abdul Hamid,,Iraq,,,Male,,,Journalist,,Murder,Killed,Staff,Radio Rasheed,Editor,"Corruption,Crime,Human Rights,Politics",Radio,Iraq,Mosul,,,Mosul,,Local,Political Group,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,
,Confirmed,Youssef al-Ayzari,,Yemen,,,Male,,,Journalist,,Crossfire,Killed,Staff,Suhail TV,Broadcast Reporter,"Politics,War",Television,Yemen,Dhamar,,,Dhamar,,Local,Military Officials,Confirmed,,,,No,Yes,No,,,,,,,,,
,Confirmed,Zakaria Ibrahim,,Syria,,,Male,,,Journalist,,Crossfire,Killed,Staff,Al-Jazeera,Camera Operator,War,Television,Syria,"Taldou, Homs province",,,"Taldou, Homs province","Taldou, Homs province",Local,Military Officials,Confirmed,,,,No,No,No,,,,,,,,,
,Confirmed,Zaman Mehsud,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Freelance,"Daily Ummat, Daily Nai Baat",Print Reporter,"Human Rights,Politics",Print,Pakistan,Tank,,,Tank,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
